"","artists","album","genre","scores","years","labels","dates","reviewer"
"1","21 Savage","Issa Album
","Rap","6.5","2017","Slaughter Gang/Epic","July 12 2017","Sheldon Pearce"
"2","2 Chainz","Pretty Girls Like Trap Music
","Rap","8","2017","Def Jam","June 16 2017","Paul A. Thompson"
"3","Lindsey BuckinghamChristine McVie","Lindsey Buckingham / Christine McVie
","RockFolk/Country","6.2","2017","Atlantic","June 12 2017","Sean T. Collins"
"4","Pixx","The Age of Anxiety
","Pop/R&B","6.5","2017","4AD","June 12 2017","Calum Marsh"
"5","Murlo","Club Coil EP
","Electronic","5.9","2017","Mixpak","June 12 2017","Kevin Lozano"
"6","Norska","Too Many Winters
","Rock","7.2","2017","Brutal Panda","June 12 2017","Andy O'Connor"
"7","Salt-N-Pepa","Very Necessary
","Rap","8.5","1993","Next Plateau","June 11 2017","Claire Lobenfeld"
"8","Royal Trux","Platinum Tips + Ice Cream
","Rock","7.3","2017","Drag City","June 10 2017","Stuart Berman"
"9","Saint Etienne","Home Counties
","ElectronicRock","7.6","2017","Heavenly","June 10 2017","Saby Reyes-Kulkarni"
"10","Arve Henriksen","Towards Language
","GlobalJazz","7.6","2017","Rune Grammofon","June 10 2017","Brian Howe"
"11","Robert Hood","Paradygm Shift
","Electronic","6.9","2017","Dekmantel","June 10 2017","Jesse Weiss"
"12","Big Thief","Capacity
","Rock","8.3","2017","Saddle Creek","June 9 2017","Quinn Moreland"
"13","Jimi Tents","I Can't Go Home
","Rap","7.8","2017","EMPIRE/Vate","June 9 2017","Sheldon Pearce"
"14","Smidley","Smidley
","Experimental","7.5","2017","Triple Crown","June 9 2017","Ian Cohen"
"15","King Tubby & the Aggrovators","Dubbing in the Backyard
","Global","7.4","1982/2017","Pressure Sounds","June 9 2017","Andy Beta"
"16","Phoenix","Ti Amo
","Rock","7","2017","Glassnote","June 8 2017","Marc Hogan"
"17","Perera Elsewhere","All of This
","Pop/R&B","7.6","2017","Friends of Friends","June 8 2017","Briana Younger"
"18","Mark McGuire","Ideas of Beginnings
","ElectronicRockExperimental","7.7","2017","VDSQ","June 8 2017","Sam Sodomsky"
"19","Cigarettes After Sex","Cigarettes After Sex
","Experimental","7.4","2017","Partisan","June 8 2017","Cameron Cook"
"20","Halsey","hopeless fountain kingdom
","Pop/R&B","6.5","2017","Astralwerks","June 7 2017","Katherine St. Asaph"
"21","Beach Fossils","Somersault
","ExperimentalRock","7.3","2017","Bayonet","June 7 2017","Philip Cosores"
"22","Major Lazer","Know No Better EP
","GlobalPop/R&B","6.4","2017","Mad Decent","June 7 2017","Jonah Bromwich"
"23","Various Artists","Five Years of Loving Notes
","N/A","7.6","2017","Antinote","June 7 2017","Andy Beta"
"24","alt-J","RELAXER
","Rock","4.5","2017","Canvasback","June 6 2017","Jayson Greene"
"25","Chastity Belt","I Used to Spend So Much Time Alone
","Rock","7.4","2017","Hardly Art","June 6 2017","Sasha Geffen"
"26","Omar Souleyman","To Syria, With Love
","Global","6.5","2017","Mad Decent","June 6 2017","Andy Beta"
"27","The Charlatans UK","Different Days
","ElectronicRock","6","2017","BMG","June 6 2017","Robert Ham"
"28","Gucci Mane","Droptopwop
","Rap","7.3","2017","Atlantic","June 5 2017","Paul A. Thompson"
"29","Chuck Johnson","Balsams
","Experimental","8.1","2017","VDSQ","June 5 2017","Marc Masters"
"30","Chain and the Gang","The Best of Crime Rock
","ElectronicPop/R&B","7.7","2017","In the Red","June 5 2017","Stuart Berman"
"31","Pet Symmetry","Vision
","Rock","6.8","2017","Polyvinyl","June 5 2017","Evan Rytlewski"
"32","tofubeats","Fantasy Club
","Electronic","7.6","2017","Warner Music Japan","June 5 2017","Patrick St. Michel"
"33","Ghostface Killah","Supreme Clientele
","Rap","10","2000","Epic/Sony","June 4 2017","Jeff Weiss"
"34","Tony Conrad","Ten Years Alive on the Infinite Plain
","ExperimentalRock","8.4","2017","Superior Viaduct","June 3 2017","Grayson Haver Currin"
"35","Martin Rev","Demolition 9
","Electronic","6","2017","Atlas Réalisations","June 3 2017","Saby Reyes-Kulkarni"
"36","Loss","Horizonless
","Metal","8","2017","Profound Lore","June 3 2017","Andy O'Connor"
"37","Shinichi Atobe","From the Heart, It’s a Start, a Work of Art
","Electronic","8.1","2017","DDS","June 3 2017","Philip Sherburne"
"38","Bleachers","Gone Now
","Pop/R&B","6.1","2017","RCA","June 2 2017","Sam Sodomsky"
"39","Kettenkarussell","Insecurity Guard
","Electronic","8","2017","Giegling","June 2 2017","Philip Sherburne"
"40","Look Blue Go Purple","Still Bewitched
","Rock","8.3","1985/2017","Flying Nun","June 2 2017","Quinn Moreland"
"41","Marika Hackman","I’m Not Your Man
","Folk/Country","7.5","2017","Sub Pop","June 2 2017","Laura Snapes"
"42","Snoop Dogg","Neva Left
","Rap","7","2017","EMPIRE/Doggy Style","June 1 2017","Rebecca Haithcoat"
"43","Dan Auerbach","Waiting on a Song
","Rock","6.7","2017","Easy Eye Sound","June 1 2017","Stuart Berman"
"44","Elysia Crampton","Spots y Escupitajo
","Experimental","7.2","2017","The Vinyl Factory","June 1 2017","Daniel Martin-McCormick"
"45","Ricardo Villalobos","Empirical House
","Electronic","7.3","2017","[a:rpia:r]","June 1 2017","Philip Sherburne"
"46","Bryson Tiller","True to Self
","Pop/R&B","6.6","2017","RCA","May 31 2017","David Turner"
"47","Swet Shop Boys","Sufi La EP
","Rap","6.9","2017","Customs","May 31 2017","Mehan Jayasuriya"
"48","First Hate","A Prayer for the Unemployed
","ElectronicPop/R&B","7.8","2017","Escho","May 31 2017","Louis Pattison"
"49","Thunder Dreamer","Capture
","Rock","7.7","2017","6131","May 31 2017","Ian Cohen"
"50","Danzig","Black Laden Crown
","MetalRock","6.4","2017","Nuclear Blast","May 30 2017","Andy O'Connor"
"51","RJ","MrLA
","Rap","7.5","2017","400 Summers","May 30 2017","Briana Younger"
"52","JJ DOOM","Bookhead EP
","Rap","8","2017","Lex","May 30 2017","Nate Patrin"
"53","Obnox","Niggative Approach
","Rock","7.8","2017","12XU","May 30 2017","Marc Masters"
"54","Patti Smith Group","Easter
","Rock","8.8","1978","Arista","May 28 2017","Caryn Rose"
"55","Roger Waters","Is This the Life We Really Want?
","Rock","6.9","2017","Columbia","May 27 2017","Saby Reyes-Kulkarni"
"56","Jaco Pastorius","Truth, Liberty & Soul - Live in NYC: The Complete 1982 NPR Jazz Alive! Recording
","GlobalJazz","8.1","2017","Resonance","May 27 2017","Michael J. Agovino"
"57","Mary LattimoreElysse Thebner Miller","And the Birds Flew Overhead
","Experimental","7.8","2017","Footfalls","May 27 2017","Andy Beta"
"58","Kikagaku Moyo","Stone Garden
","Experimental","6","2017","Guruguru Brain","May 27 2017","Patrick St. Michel"
"59","Lil Yachty","Teenage Emotions
","Rap","6.8","2017","Capitol/Quality Control","May 26 2017","Sheldon Pearce"
"60","James Place","Voices Bloom
","N/A","7.4","2017","Umor Rex","May 26 2017","Marc Masters"
"61","Mulatu Astatke","Mulatu Of Ethiopia
","JazzPop/R&BGlobal","8.7","1972/2017","Strut","May 26 2017","Erin MacLeod"
"62","Man Forever","Play What They Want
","Experimental","7.9","2017","Thrill Jockey","May 26 2017","Jesse Jarnow"
"63","T-PainLil Wayne","T-Wayne
","Rap","6.1","2017","Self-released","May 25 2017","Jayson Greene"
"64","Sam Amidon","The Following Mountain
","Rock","7","2017","Nonesuch","May 25 2017","Brian Howe"
"65","Dreamcar","Dreamcar
","Rock","5.8","2017","PLOF","May 25 2017","Zoe Camp"
"66","Everything Is Recorded","Close but Not Quite EP
","Electronic","6.7","2017","XL","May 25 2017","Kevin Lozano"
"67","Wavves","You’re Welcome
","Rock","6","2017","Ghost Ramp","May 24 2017","Nina Corcoran"
"68","Helium","The Magic City / No Guitars","Rock","8.5","1997/2017","Matador","May 24 2017","Amy Schroeder"
"69","Helium","Ends With And","Rock","7","2017","Matador","May 24 2017","Amy Schroeder"
"70","Helium","The Dirt of Luck","Rock","8","1995/2017","Matador","May 24 2017","Amy Schroeder"
"71","!!!","Shake the Shudder
","Rock","7.3","2017","Warp","May 24 2017","Stuart Berman"
"72","Dr. Octagon","Dr. Octagonecologyst
","ElectronicRap","8.7","1996/2017","Get on Down","May 24 2017","Nate Patrin"
"73","Various Artists","Singles: Original Motion Picture Soundtrack-Deluxe Edition
","N/A","8.7","1992/2017","Sony/Legacy","May 23 2017","Eric Harvey"
"74","Nick Hakim","Green Twins
","Pop/R&B","7.9","2017","ATO","May 23 2017","Sheldon Pearce"
"75","Khotin","New Tab
","Electronic","7.8","2017","Pacific Rhythm","May 23 2017","Philip Sherburne"
"76","Faith EvansThe Notorious B.I.G.","The King & I
","Pop/R&BRap","4.5","2017","Rhino","May 23 2017","Evan Rytlewski"
"77","The Mountain Goats","Goths
","Rock","8","2017","Merge","May 22 2017","Jeremy D. Larson"
"78","Vatican Shadow","Rubbish of the Floodwaters EP
","Experimental","7.2","2017","Ostgut Ton","May 22 2017","Andy O'Connor"
"79","Hanna","The Never End EP
","Electronic","7.6","2017","Apron","May 22 2017","Ben Cardew"
"80","New Jackson","From Night to Night
","Electronic","7.2","2017","All City","May 22 2017","Andy Beta"
"81","Will Stratton","Rosewood Almanac
","Folk/CountryRock","7","2017","Bella Union","May 22 2017","Saby Reyes-Kulkarni"
"82","Violent Femmes","Violent Femmes
","Rock","9.1","1983","Slash","May 21 2017","Steven Hyden"
"83","Nick Murphy","Missing Link EP
","Electronic","6.2","2017","Downtown/Opulent","May 20 2017","Patric Fallon"
"84","Wale","Shine
","Rap","6","2017","Atlantic/Maybach Music Group","May 20 2017","Jonah Bromwich"
"85","Ellen Allien","Nost
","Electronic","7.6","2017","Bpitch Control","May 20 2017","Stacey Anderson"
"86","Heather Trost","Agistri
","Folk/CountryRockPop/R&B","7.6","2017","LM Dupli-Cation","May 20 2017","Jesse Jarnow"
"87","(Sandy) Alex G","Rocket
","Rock","8.4","2017","Domino","May 19 2017","Ian Cohen"
"88","J Hus","Common Sense
","Rap","7.8","2017","Black Butter","May 19 2017","Paul A. Thompson"
