,artists,album,genre,scores,years,labels,dates,reviewer,Release Year,day,month,electronic,pop,r&b,rap,experimental,rock,global,folk,country,jazz,Reissue,Prev1,Prev2,Prev3,Prev4,Prev5,Prev6,Prev7,Prev8,Prev9,Prev10,Wait,Major,MajorIndie,Label Switch,Other
4276,Ø,Konstellaatio,,7.4,2014,Sahko,2014-02-27,Grayson Haver Currin,2014,27,2,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
8500,Ólöf Arnalds,Innundir Skinni,Pop/R&B,8.0,2010,One Little Indian,2010-10-26,Jayson Greene,2010,26,10,0,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
5415,Ólafur Arnalds,Now I Am Winter,Rock,5.5,2013,Mercury,2013-04-09,Brian Howe,2013,9,4,0,0,0,0,0,1,0,0,0,0,0,4.5,6.2,7.0,6.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,1,1
6903,Ólafur Arnalds,Living Room Songs,Rock,4.5,2012,Erased Tapes,2012-02-16,Joe Colly,2012,16,2,0,0,0,0,0,1,0,0,0,0,0,6.2,7.0,6.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,1
6904,Ólafur Arnalds,Another Happy Day OST,Rock,6.2,2012,Erased Tapes,2012-02-16,Joe Colly,2012,16,2,0,0,0,0,0,1,0,0,0,0,0,7.0,6.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,0,0,1
8977,Ólafur Arnalds,...And They Have Escaped the Weight of Darkness,Rock,7.0,2010,Erased Tapes,2010-06-10,Brian Howe,2010,10,6,0,0,0,0,0,1,0,0,0,0,0,6.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,0,1
9399,Ólafur Arnalds,Found Songs,Rock,6.3,2009,Erased Tapes,2010-02-16,Brian Howe,2009,16,2,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
4509,Ævangelist,Omen Ex Simulacra,,7.0,2013,Debemur Morti,2013-12-11,Kim Kelly,2013,11,12,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
6572,Âme,Live,,7.3,2012,Innervisions,2012-05-16,Tim Finney,2012,16,5,0,0,0,0,0,0,0,0,0,0,0,6.9,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0,0,1,1
10644,Âme,Fabric 42,,6.9,2009,Fabric,2009-02-25,Tim Finney,2009,25,2,0,0,0,0,0,0,0,0,0,0,0,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,0,1,1
